Vehicle_Name,Rating
2010 Toyota Tundra,4.435897436
2010 Toyota Venza,4.319642857
2010 Toyota Yaris,4.511363636
2011 Toyota 4Runner,4.181372549
2011 Toyota Avalon,4.496428571
2011 Toyota Camry,4.322289157
2011 Toyota Corolla,4.0625
2011 Toyota FJ,4.541666667
2011 Toyota Highlander,4.435661765
2011 Toyota Land,4.375
2011 Toyota Matrix,3.875
2011 Toyota Prius,4.327272727
2011 Toyota RAV4,4.214583333
2011 Toyota Sequoia,4.625
2011 Toyota Sienna,4.207142857
2011 Toyota Tacoma,4.336538462
2011 Toyota Tundra,4.585
2011 Toyota Venza,3.746875
2011 Toyota Yaris,4.275
2012 Toyota 4Runner,4.355263158
2012 Toyota Avalon,4.888888889
2012 Toyota Camry,4.138513514
2012 Toyota Corolla,3.9296875
2012 Toyota FJ,4.8125
2012 Toyota Highlander,4.391891892
2012 Toyota Matrix,4
2012 Toyota Prius,4.276666667
2012 Toyota RAV4,4.011904762
2012 Toyota Sequoia,4.708333333
2012 Toyota Sienna,3.797413793
2012 Toyota Tacoma,4.151315789
2012 Toyota Tundra,3.828947368
2012 Toyota Venza,4.025
2012 Toyota Yaris,4.152777778
2013 Toyota 4Runner,4.071428571
2013 Toyota Avalon,4.44481982
2013 Toyota Camry,4.296610169
2013 Toyota Corolla,4.12202381
2013 Toyota FJ,4.666666667
2013 Toyota Highlander,4.065104167
2013 Toyota Land,4.96875
2013 Toyota Matrix,3.125
2013 Toyota Prius,4.427556818
2013 Toyota RAV4,4.090753425
2013 Toyota Sequoia,4.916666667
2013 Toyota Sienna,4.286764706
2013 Toyota Tacoma,3.827205882
2013 Toyota Tundra,4.473214286
2013 Toyota Venza,4.450892857
2013 Toyota Yaris,4.675
2014 Toyota 4Runner,4.453125
2014 Toyota Avalon,4.01171875
2014 Toyota Camry,4.004545455
2014 Toyota Corolla,4.162280702
2014 Toyota FJ,4.711538462
2014 Toyota Highlander,4.369444444
2014 Toyota Land,4.791666667
2014 Toyota Prius,4.41015625
2014 Toyota RAV4,3.78125
2014 Toyota Sequoia,3.857142857
2014 Toyota Sienna,3.703947368
2014 Toyota Tacoma,4.510416667
2014 Toyota Tundra,4.481617647
2014 Toyota Venza,4.3
2014 Toyota Yaris,4
2015 Toyota 4Runner,4.614285714
2015 Toyota Avalon,4.157894737
2015 Toyota Camry,4
2015 Toyota Corolla,3.667613636
2015 Toyota Highlander,3.945945946
2015 Toyota Land,5
2015 Toyota Prius,4.521604938
2015 Toyota RAV4,4.042857143
2015 Toyota Sequoia,4
2015 Toyota Sienna,3.988636364
2015 Toyota Tacoma,4.358870968
2015 Toyota Tundra,4.583333333
2015 Toyota Venza,4.495192308
2015 Toyota Yaris,4
2016 Toyota 4Runner,4.528571429
2016 Toyota Avalon,4.447761194
2016 Toyota Camry,3.721518987
2016 Toyota Corolla,4.128571429
2016 Toyota Highlander,4.116883117
2016 Toyota Land,4.666666667
2016 Toyota Prius,4.530612245
2016 Toyota RAV4,4.292857143
2016 Toyota Sequoia,4.4
2016 Toyota Sienna,4.394736842
2016 Toyota Tacoma,3.396039604
2016 Toyota Tundra,4.53164557
2016 Toyota Yaris,3
2017 Toyota 4Runner,4.4
2017 Toyota 86,4.75
2017 Toyota Avalon,3.92
2017 Toyota Camry,4.166666667
2017 Toyota Corolla,3.897058824
2017 Toyota Highlander,3.965517241
2017 Toyota Land,4.666666667
2017 Toyota Mirai,4.75
2017 Toyota Prius,4.612244898
2017 Toyota RAV4,4.278846154
2017 Toyota Sequoia,3
2017 Toyota Sienna,3.815789474
2017 Toyota Tacoma,3.5625
2017 Toyota Tundra,4.371428571
2017 Toyota Yaris,4.333333333
2018 Toyota 4Runner,4.628571429
2018 Toyota Avalon,3.92
2018 Toyota C-HR,4.051282051
2018 Toyota Camry,3.63963964
2018 Toyota Corolla,4
2018 Toyota Highlander,4.471698113
2018 Toyota Land,5
2018 Toyota Mirai,1
2018 Toyota Prius,4.9
2018 Toyota RAV4,4.28
2018 Toyota Sequoia,4.375
2018 Toyota Sienna,4.571428571
2018 Toyota Tacoma,4.025
2018 Toyota Tundra,3.846153846
2018 Toyota Yaris,4.4
